,Material_,year_,PKT real_sum,StandardDeviation_mean
170,2191119,2023,208329,55.90604523233294
171,2191120,2022,115393,37.411679541536806
172,2191120,2023,61394,37.411679541536806
173,2191121,2022,120866,34.82468569094212
174,2191121,2023,44021,34.82468569094212
175,2191122,2022,231251,56.47169089633856
176,2191122,2023,24,56.47169089633856
177,2191123,2022,289064,59.24274492775514
178,2191124,2022,38675,3.812464258315121
179,2191126,2022,23130,234.95440287121977
180,2191464,2022,8487,26.92917748435858
181,2191465,2022,30564,33.75478272499858
182,2192018,2022,91500,0.0
183,2192639,2022,24681,62.16225416111698
184,2192644,2022,27355,53.67283719617173
185,2192645,2022,9013,30.01051351484234
186,2193064,2022,385,5.6783439261451685
187,2193128,2022,10827,11.037801765987982
188,2193129,2022,2868,17.429811493266577
189,2193130,2022,3588,4.868040819592753
190,2193131,2022,41024,16.194854460523132
191,2193132,2022,16183,11.511712588658662
192,2193133,2022,56651,23.46161558044146
193,2193134,2022,34419,15.304104136850137
194,2193135,2022,11261,7.949579614838578
195,2193136,2022,10403,9.916172312679986
196,2193137,2022,17463,10.222157436520378
197,2193138,2022,16872,11.996818474801662
198,2193139,2022,50812,21.175875598130855
199,2193141,2022,37085,14.562971559650345
200,2193142,2022,39234,16.94273409835792
201,2193143,2022,11035,7.842562631845899
202,2193144,2022,36040,16.004062477345748
203,2193145,2022,28967,9.717372793309497
204,2193147,2022,13676,11.714250450473155
205,2193148,2022,35603,11.654379072795322
206,2193160,2022,34959,13.669810842004216
207,2193344,2022,147130,168.65615522248888
208,2193684,2022,22624,44.41630005726784
209,2193685,2022,16,
210,2193686,2022,6577,21.394103078485255
211,2193898,2022,15790,99.87525049803584
212,2193899,2022,26990,60.11295615658067
213,2193900,2022,3770,19.103557260161555
214,2193901,2022,14860,28.74392825123875
215,2193902,2022,108934,173.31641760802694
216,2193903,2022,32660,56.40432332704871
217,2193904,2022,212807,290.46074481866873
218,2193905,2022,54941,102.6563438910226
219,2193906,2022,33259,49.89693417404038
220,2193907,2022,12900,25.70805119226069
221,2193908,2022,5546,13.569033372597572
222,2193909,2022,32035,75.40073021331114
223,2193910,2022,21212,34.59712530099259
224,2194002,2022,160605,70.25503314870903
225,2194121,2022,81625,95.32294481357151
226,2194122,2022,64125,64.1078399327654
227,2194150,2022,223517,104.22673019699076
228,2194151,2022,66981,63.09563442664049
229,2194157,2022,47302,184.37506189276905
230,2194313,2022,28553,47.88374661316023
231,2194787,2022,453828,466.58990429826565
232,2194789,2022,72490,125.05913955428512
233,2194790,2022,74720,172.32379357039957
234,2194791,2022,49950,83.44242316614977
235,2194792,2022,9671,20.787695019143158
236,2195152,2022,4168,22.21390191311305
237,2195153,2022,93616,113.16321891639548
238,2195154,2022,4959,60.38767876986079
239,2195163,2022,243312,177.7024600106856
240,2195164,2022,196991,89.20980749734437
241,2195266,2022,14465,86.10277151123874
242,2195267,2022,17201,55.6019927845815
243,2195811,2022,25,
244,2195856,2022,1437,32.83374994019317
245,2196091,2022,31229,80.73904222597577
246,2196545,2022,5551,9.942273540932208
247,2196557,2022,31350,25.3546276418555
248,2196558,2022,70471,66.00204789865423
249,2196558,2023,9310,66.00204789865423
250,2196560,2022,136675,44.61542800090606
251,2196560,2023,18910,44.61542800090606
252,2196561,2022,599440,40.059391454661665
253,2196561,2023,93675,40.059391454661665
254,2196605,2022,152520,162.17537656056186
255,2196606,2022,204306,166.04566209701733
256,2196607,2022,63172,75.54787657618303
257,2196608,2022,123744,131.24947060733388
258,2196609,2022,86957,119.33199458431618
259,2196610,2022,82600,109.90334572760217
260,2196641,2022,35614,107.29602783831895
261,2196642,2022,11119,73.12741369039237
262,2196648,2022,187867,264.6828196389333
263,2196649,2022,57584,127.30778226387285
264,2196651,2022,20815,49.51397248668697
265,2196652,2022,13952,27.925819432091043
266,2196653,2022,257840,111.05556433091674
267,2196654,2022,223041,89.46735815792192
268,2196660,2022,103686,75.88494793129063
269,2196661,2022,1022130,302.8492326445022
270,2196667,2022,82976,61.494773926533654
271,2196668,2022,32689,22.673839989834295
272,2196669,2022,34095,19.64318521612113
273,2196670,2022,1030868,219.47507600259553
274,2196670,2023,185582,219.47507600259553
275,2196673,2022,35509,26.880892067010123
276,2196674,2022,121994,89.66703710426921
277,2196675,2022,83254,40.8049049381222
278,2196676,2022,103478,114.27705536208535
279,2196678,2022,28002,29.38876562768117
280,2196679,2022,22380,93.62150100287616
281,2196680,2022,12830,60.83047770066972
282,2196688,2022,148103,62.668850323470295
283,2196689,2022,25552,21.119007556090665
284,2196690,2022,49117,21.804605972921582
285,2196692,2022,46330,13.611535886429266
286,2196693,2022,59400,14.30060461437992
287,2196694,2022,82795,23.49308016110171
288,2196696,2022,147229,61.663050051782584
289,2196697,2022,70125,31.846404110117973
290,2196698,2022,29733,15.20546560225614
291,2196699,2022,42758,20.622844647706454
292,2196700,2022,846704,169.19448170374037
293,2196700,2023,31050,169.19448170374037
294,2196701,2022,2324256,81.10020753451518
295,2196702,2022,224977,144.09478548919913
296,2196702,2023,11325,144.09478548919913
297,2196703,2022,1204921,142.0132390318928
298,2196703,2023,62580,142.0132390318928
299,2196704,2022,300468,61.433212125665555
300,2196704,2023,20750,61.43321212566556
301,2196705,2022,1287698,36.298216021447956
302,2196706,2022,227400,139.14232913333268
303,2196706,2023,17000,139.14232913333268
304,2196707,2022,681181,164.5845176692961
305,2196707,2023,32580,164.5845176692961
306,2196708,2022,234023,168.06981725576307
307,2196708,2023,34350,168.06981725576307
308,2196709,2022,1468942,48.683147804682875
309,2196709,2023,125675,48.68314780468288
310,2196710,2022,2008873,31.10271774824229
311,2196710,2023,158175,31.10271774824229
312,2196711,2022,394952,54.11090861429302
313,2196711,2023,61300,54.11090861429302
314,2196712,2022,356827,71.71985550800784
315,2196712,2023,56275,71.71985550800784
316,2196713,2022,105178,123.40544220112794
317,2196714,2022,29825,132.91140348544434
318,2196715,2022,105750,0.0
319,2196716,2022,31050,127.84957938986783
320,2196717,2022,51300,84.52493484055677
321,2196718,2022,29700,0.0
322,2196719,2022,129750,0.0
323,2196720,2022,22400,150.26857675938214
324,2196721,2022,53580,46.98719623652269
325,2196722,2022,18800,21.82178902359924
326,2196730,2022,100802,9.483983653821104
327,2196732,2022,568232,21.40247133221132
328,2196732,2023,70674,21.40247133221132
329,2196733,2022,1660247,61.75094766958081
330,2196733,2023,261339,61.75094766958081
331,2196734,2022,94060,151.53667104011433
332,2196734,2023,13550,151.53667104011433
333,2196735,2022,6442,193.17876233838547
334,2196736,2022,5489,176.41650090091758
335,2196741,2022,34578,94.30179409486517
336,2196742,2022,55333,136.14318062458747
337,2196743,2022,54934,170.3868054144714
338,2196744,2022,5609,23.25329034398755
339,2196754,2022,48612,56.8724170592208
340,2196756,2022,29394,50.02892796186518
341,2196757,2022,447718,185.1371936573203
342,2196758,2022,454469,177.87237206154154
343,2196840,2022,294769,89.69673065050813
344,2196840,2023,31068,89.69673065050812
345,2196841,2022,165593,96.78745731949041
346,2196874,2022,1889,17.856285591439296
347,2196875,2022,16803,15.886173641857289
348,2196876,2022,10896,18.506588844836006
349,2196924,2022,170427,301.6746830176294
350,2196926,2022,51730,148.0733853473376
351,2196930,2022,295161,336.77166334342655
352,2196931,2022,63071,348.83011781407424
353,2196932,2022,556855,402.8811128062957
354,2196933,2022,29807,155.32298773819758
355,2196937,2022,10573,37.02574403946904
356,2196943,2022,71096,127.46304307729405
357,2196944,2022,137710,210.6359396183505
358,2196951,2022,37566,80.89507301297019
359,2196952,2022,47679,91.51181421326969
360,2196959,2022,229035,499.82062450312134
361,2196963,2022,108286,194.78022486020257
362,2196964,2022,169236,193.57593603834727
363,2196975,2022,771838,78.31118196608936
364,2196975,2023,88930,78.31118196608936
365,2196976,2022,442950,94.468255295151
366,2196976,2023,69450,94.468255295151
367,2197102,2022,24889,38.9006869874532
368,2197123,2022,13310,12.199538456547701
369,2197124,2022,65236,38.116048329826285
370,2197125,2022,13459,11.407875574977819
371,2197129,2022,282724,134.46850328036982
372,2197132,2022,218068,124.2680021859898
373,2197136,2022,5444,18.95652828086929
374,2197137,2022,749,18.849517199189318
375,2197139,2022,6641,25.255851890743045
376,2197140,2022,148332,246.17238541715577
377,2197141,2022,35885,111.37263989343757
378,2197142,2022,9755,116.53187894129839
379,2197143,2022,82522,72.87585162118206
380,2197207,2022,393039,113.87794900446202
381,2197208,2022,668682,186.14694745783467
382,2197209,2022,99409,66.39932665885395
383,2197210,2022,52695,75.78601066040031
384,2197211,2022,19398,69.95277589159292
385,2197377,2022,9132,10.780798845056694
386,2197509,2022,90910,277.7396553051656
387,2197510,2022,42620,384.7881785441037
388,2197614,2022,57382,93.88839929544594
389,2197615,2022,26622,75.0432569165613
390,2197624,2022,29360,45.318940828264985
391,2197764,2022,138966,29.083951265926178
392,2197764,2023,5579,29.08395126592618
393,2197765,2022,206488,34.86912370264758
394,2197765,2023,22,34.86912370264758
395,2197774,2022,61545,32.67652415155464
396,2197774,2023,92,32.67652415155464
397,2197775,2022,405671,124.14535161028637
398,2197776,2023,709,27.814391681562704
399,2197779,2022,13035,68.41171104226528
400,2197780,2022,442394,278.9152542368573
401,2197782,2022,62169,104.71051054870279
402,2197783,2022,109576,63.23444904691993
403,2197784,2022,1413973,216.11077444684
404,2197785,2022,171511,89.26841681239058
405,2197786,2022,530117,91.05916457177408
406,2197788,2022,1553116,243.29266629086723
407,2197789,2022,389724,264.78428870578705
408,2197790,2022,173413,97.9258339960704
409,2197791,2022,468293,93.27637447639204
410,2197879,2022,45122,248.07558472184792
411,2197879,2023,7975,248.0755847218479
412,2197948,2022,579510,158.14172512265313
413,2197949,2022,120266,130.3989743943995
414,2197949,2023,20245,130.3989743943995
415,2197950,2022,754675,185.51990096387837
416,2197951,2022,102345,125.57388538031778
417,2197951,2023,12208,125.57388538031778
418,2197952,2022,513899,111.67632474510097
419,2197953,2022,68292,22.92532958344395
420,2198017,2022,93807,224.92734628318513
421,2198018,2022,177451,358.4384425442328
422,2198019,2022,320111,408.4800837769214
423,2198020,2022,90695,281.7468800323731
424,2198021,2022,96848,198.64950184282557
425,2198022,2022,56234,206.05204659485526
426,2198024,2022,2984,18.221518010115535
427,2198025,2022,27192,93.01587504853521
428,2198026,2022,44861,138.16170166984304
429,2198027,2022,79064,260.1792811588132
430,2198028,2022,20374,57.254894527556246
431,2198029,2022,28757,87.05082360926323
432,2198030,2022,4798,14.174319843915866
433,2198032,2022,37960,360.56454909810213
434,2198075,2022,10658,28.559818319499747
435,2198117,2023,6688,18.71633247885156
436,2198118,2023,2321,11.079510415201025
437,2198119,2023,5598,16.322943394277843
438,2198120,2023,2919,13.179861108077068
439,2198121,2023,5501,13.596428184798162
440,2198122,2023,1311,7.177445973748291
441,2198123,2023,5080,12.792366568201672
442,2198124,2023,1518,7.528044777097384
443,2198125,2023,5110,13.518813446964456
444,2198126,2023,4842,12.887336444026424
445,2198127,2023,2967,9.275375659237326
446,2198128,2023,1495,8.299376908927034
447,2198129,2023,1518,6.969312532943512
448,2198130,2023,1339,6.884740189256274
449,2198131,2023,904,5.779375838437058
450,2198135,2023,4945,14.29199639426119
451,2198136,2023,2154,17.27840575514218
452,2198137,2023,9255,21.02490120708112
453,2198162,2022,139257,243.79294150523162
